sex,age,height,weight,year,season,sport,event,medal
F,15,178,67,1972,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
F,19,178,67,1976,Summer,Swimming,Swimming Women's 200 metres Freestyle,Silver
F,19,178,67,1976,Summer,Swimming,Swimming Women's 400 metres Freestyle,Silver
F,19,178,67,1976,Summer,Swimming,Swimming Women's 800 metres Freestyle,Silver
F,19,178,67,1976,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
F,19,178,67,1976,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
M,23,195,121,1960,Summer,Athletics,Athletics Men's Discus Throw,Silver
M,22,171,65,1976,Summer,Fencing,"Fencing Men's Foil, Team",Gold
M,23,172,54,1976,Summer,Boxing,Boxing Men's Welterweight,Gold
M,27,180,70,1972,Summer,Rowing,Rowing Men's Coxless Pairs,Silver
M,26,176,76,1960,Summer,Rowing,Rowing Men's Coxless Fours,Bronze
M,24,165,57,1968,Summer,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Silver
M,17,183,77,1972,Summer,Swimming,Swimming Men's 200 metres Butterfly,Bronze
M,24,171,84,1976,Summer,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze
M,28,171,84,1980,Summer,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold
M,21,173,68,1964,Summer,Athletics,Athletics Men's 400 metres,Bronze
F,23,180,75,1976,Summer,Handball,Handball Women's Handball,Silver
F,20,173,64,1976,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
M,22,187,85,1960,Summer,Rowing,Rowing Men's Coxed Pairs,Silver
M,30,187,85,1968,Summer,Rowing,Rowing Men's Coxed Eights,Bronze
F,31,170,76,1952,Summer,Athletics,Athletics Women's Discus Throw,Silver
M,27,190,88,1964,Summer,Basketball,Basketball Men's Basketball,Silver
F,20,165,69,1972,Summer,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Gold
M,29,189,93,1980,Summer,Football,Football Men's Football,Silver
F,17,170,65,1968,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
M,22,179,70,1960,Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
M,31,180,65,1952,Summer,Athletics,Athletics Men's 100 metres,Bronze
M,26,190,85,1976,Summer,Rowing,Rowing Men's Double Sculls,Silver
M,24,184,89,1968,Summer,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Bronze
M,28,184,89,1972,Summer,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
M,22,170,68,1964,Summer,Hockey,Hockey Men's Hockey,Silver
M,20,183,72,1952,Summer,Athletics,Athletics Men's 200 metres,Silver
M,25,183,72,1956,Summer,Athletics,Athletics Men's 100 metres,Silver
M,25,183,72,1956,Summer,Athletics,Athletics Men's 200 metres,Bronze
M,25,183,72,1956,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
M,26,180,72,1972,Summer,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
M,24,190,80,1976,Summer,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
M,30,183,71,1968,Summer,Fencing,"Fencing Men's Sabre, Team",Bronze
M,34,183,71,1972,Summer,Fencing,"Fencing Men's Sabre, Team",Bronze
M,25,171,75,1968,Summer,Weightlifting,Weightlifting Men's Middleweight,Bronze
F,23,175,75,1980,Summer,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
M,29,156,52,1968,Summer,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
F,23,185,72,1960,Summer,Athletics,Athletics Women's High Jump,Gold
F,27,185,72,1964,Summer,Athletics,Athletics Women's High Jump,Gold
M,30,175,93,1976,Summer,Sailing,Sailing Mixed One Person Dinghy,Silver
M,34,175,93,1980,Summer,Sailing,Sailing Mixed One Person Dinghy,Bronze
M,22,185,88,1960,Summer,Rowing,Rowing Men's Coxed Fours,Bronze
M,27,188,100,1976,Summer,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
M,22,181,73,1960,Summer,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
M,30,181,73,1968,Summer,Modern Pentathlon,Modern Pentathlon Men's Individual,Silver
M,30,181,73,1968,Summer,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
M,34,181,73,1972,Summer,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
M,34,181,73,1972,Summer,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
M,32,185,82,1976,Summer,Shooting,Shooting Mixed Trap,Bronze
M,22,169,66,1936,Summer,Football,Football Men's Football,Gold
M,19,178,71,1968,Summer,Boxing,Boxing Men's Light-Middleweight,Bronze
M,24,180,78,1972,Summer,Football,Football Men's Football,Silver
